Location = Location,Headquarters = Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Rating range,Found year range,Senior,Competitors,Compare to avg salary 62k
"Location = Scottsdale, AZ","Headquarters = Scottsdale, AZ",201 to 500 employees,Company - Private,Colleges & Universities,Education,$100 to $500 million (USD),-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Scottsdale, AZ","Headquarters = Scottsdale, AZ",201 to 500 employees,Company - Private,Colleges & Universities,Education,$100 to $500 million (USD),-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Los Angeles, CA","Headquarters = New York, NY",5001 to 10000 employees,Company - Public,TV Broadcast & Cable Networks,Media,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = Charlotte, NC","Headquarters = Charlotte, NC",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Chicago, IL","Headquarters = Irvine, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Sugar Land, TX","Headquarters = Irvine, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Denver, CO","Headquarters = Denver, CO",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Los Angeles, CA","Headquarters = Piscataway, NJ",51 to 200 employees,Subsidiary or Business Segment,Internet,Information Technology,$1 to $5 million (USD),-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Phoenix, AZ","Headquarters = Phoenix, AZ",201 to 500 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,Rate[4.5-5.0],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = Jersey City, NJ",51 to 200 employees,Company - Private,Gambling,"Arts, Entertainment & Recreation",-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Lehi, UT","Headquarters = San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = New York, NY","Headquarters = New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsSenior,-1,salary_lower_than_avg
"Location = New York, NY","Headquarters = Chicago, IL",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Norfolk, VA","Headquarters = Washington, DC",5001 to 10000 employees,Company - Private,Consulting,Business Services,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = Norfolk, VA","Headquarters = Washington, DC",5001 to 10000 employees,Company - Private,Consulting,Business Services,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = Chicago, IL",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = San Diego, CA","Headquarters = Chantilly, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = San Diego, CA","Headquarters = Chantilly, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Bronx, NY","Headquarters = Albany, NY",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = South Plainfield, NJ",51 to 200 employees,Company - Public,-1,-1,$1 to $5 million (USD),-1,-1,Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,-1,-1,Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",51 to 200 employees,Company - Public,-1,-1,$1 to $5 million (USD),-1,-1,Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",51 to 200 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Brooklyn, NY","Headquarters = Brooklyn, NY",201 to 500 employees,-1,Health Care Services & Hospitals,Health Care,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Austin, TX","Headquarters = Austin, TX",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,OneSignal,salary_lower_than_avg
"Location = Austin, TX","Headquarters = Austin, TX",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,OneSignal,salary_lower_than_avg
"Location = Los Angeles, CA","Headquarters = Seoul, South Korea",501 to 1000 employees,Company - Private,Video Games,Media,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,"Activision, Riot Games, Electronic Arts",salary_higher_than_avg
"Location = Downers Grove, IL","Headquarters = Berea, OH",1 to 50 employees,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Charlotte, NC","Headquarters = Charlotte, NC",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Charlotte, NC","Headquarters = Charlotte, NC",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = San Francisco, CA","Headquarters = Herndon, VA",1 to 50 employees,Company - Private,IT Services,Information Technology,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Los Angeles, CA","Headquarters = Atlanta, GA",1 to 50 employees,Company - Private,Internet,Information Technology,-1,Easy Apply,Rate[3.5-3.9],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = Dallas, TX","Headquarters = Dallas, TX",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,Easy Apply,Rate[3.5-3.9],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = Dallas, TX","Headquarters = Dallas, TX",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,Easy Apply,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Dallas, TX","Headquarters = Dallas, TX",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care,-1,Easy Apply,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Fort Washington, PA","Headquarters = Chicago, IL",201 to 500 employees,Company - Private,Real Estate,Real Estate,-1,-1,Rate[3.0-3.4],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = Tempe, AZ","Headquarters = Orlando, FL",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,-1,Rate[2.5-2.9,Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Los Angeles, CA","Headquarters = Los Angeles, CA",51 to 200 employees,Company - Public,-1,-1,$5 to $10 million (USD),-1,-1,Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",1 to 50 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = New York, NY","Headquarters = Santa Monica, CA",51 to 200 employees,Company - Private,-1,-1,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Mountain View, CA","Headquarters = Mountain View, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,-1,Easy Apply,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Palo Alto, CA","Headquarters = Santa Clara, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Austin, TX","Headquarters = Santa Clara, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = San Antonio, TX","Headquarters = San Antonio, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology,-1,-1,Rate[4.5-5.0],Founded 2015-2019,IsSenior,-1,salary_lower_than_avg
"Location = Mountain View, CA","Headquarters = Mountain View, CA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Los Angeles, CA","Headquarters = Los Angeles, CA",1 to 50 employees,Company - Private,Banks & Credit Unions,Finance,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsSenior,-1,salary_higher_than_avg
"Location = Foster City, CA","Headquarters = San Francisco, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Foster City, CA","Headquarters = San Francisco, CA",51 to 200 employees,Company - Private,IT Services,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Los Angeles, CA","Headquarters = Los Angeles, CA",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
"Location = San Francisco, CA","Headquarters = San Francisco, CA",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology,-1,-1,Rate[4.0-4.4],Founded 2015-2019,IsNotSenior,-1,salary_higher_than_avg
"Location = Austin, TX","Headquarters = Los Angeles, CA",1001 to 5000 employees,Company - Private,Internet,Information Technology,-1,-1,Rate[3.5-3.9],Founded 2015-2019,IsNotSenior,-1,salary_lower_than_avg
