dataAvgSalary62k,Location,Headquarters,Size,Type_of_ownership,Industry,Sector,Revenue,Rating_range,Found_year_range
higher-than-avg,"Scottsdale, AZ","Scottsdale, AZ",201 to 500 employees,Company - Private,Colleges & Universities,Education,$100 to $500 million (USD),Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Scottsdale, AZ","Scottsdale, AZ",201 to 500 employees,Company - Private,Colleges & Universities,Education,$100 to $500 million (USD),Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Los Angeles, CA","New York, NY",5001 to 10000 employees,Company - Public,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
higher-than-avg,"Charlotte, NC","Charlotte, NC",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"Chicago, IL","Irvine, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Sugar Land, TX","Irvine, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Denver, CO","Denver, CO",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Los Angeles, CA","Piscataway, NJ",51 to 200 employees,Subsidiary or Business Segment,Internet,Information Technology,$1 to $5 million (USD),Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"Phoenix, AZ","Phoenix, AZ",201 to 500 employees,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Rate[4.5-5.0],Founded 2015-2019
higher-than-avg,"New York, NY","Jersey City, NJ",51 to 200 employees,Company - Private,Gambling,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,Rate[4.5-5.0],Founded 2015-2019
lower-than-avg,"Lehi, UT","San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Rate[4.0-4.4],Founded 2015-2019
higher-than-avg,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
lower-than-avg,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Rate[3.5-3.9],Founded 2015-2019
higher-than-avg,"New York, NY","Chicago, IL",1001 to 5000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Rate[3.0-3.4],Founded 2015-2019
