dataAvgSalary62k,Location,Headquarters,Size,Type_of_ownership,Industry,Sector,Revenue,Rating_range,Found_year_range
higher_than_avg,"Scottsdale,_AZ","Scottsdale,_AZ",201_to_500_employees,Company___Private,Colleges_&_Universities,Education,$100_to_$500_million_(USD),Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Scottsdale,_AZ","Scottsdale,_AZ",201_to_500_employees,Company___Private,Colleges_&_Universities,Education,$100_to_$500_million_(USD),Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Los_Angeles,_CA","New_York,_NY",5001_to_10000_employees,Company___Public,TV_Broadcast_&_Cable_Networks,Media,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
higher_than_avg,"Charlotte,_NC","Charlotte,_NC",10000+_employees,Company___Public,Investment_Banking_&_Asset_Management,Finance,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
higher_than_avg,"Chicago,_IL","Irvine,_CA",51_to_200_employees,Company___Private,Staffing_&_Outsourcing,Business_Services,$25_to_$50_million_(USD),Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Sugar_Land,_TX","Irvine,_CA",51_to_200_employees,Company___Private,Staffing_&_Outsourcing,Business_Services,$25_to_$50_million_(USD),Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Denver,_CO","Denver,_CO",1_to_50_employees,Company___Private,Health_Care_Services_&_Hospitals,Health_Care,Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Los_Angeles,_CA","Piscataway,_NJ",51_to_200_employees,Subsidiary_or_Business_Segment,Internet,Information_Technology,$1_to_$5_million_(USD),Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"Phoenix,_AZ","Phoenix,_AZ",201_to_500_employees,Company___Private,IT_Services,Information_Technology,$10_to_$25_million_(USD),Rate[4.5_5.0],Founded_2015_2019
higher_than_avg,"New_York,_NY","Jersey_City,_NJ",51_to_200_employees,Company___Private,Gambling,"Arts,_Entertainment_&_Recreation",Unknown_/_Non_Applicable,Rate[4.5_5.0],Founded_2015_2019
lower_than_avg,"Lehi,_UT","San_Francisco,_CA",51_to_200_employees,Company___Private,Enterprise_Software_&_Network_Solutions,Information_Technology,Unknown_/_Non_Applicable,Rate[4.0_4.4],Founded_2015_2019
higher_than_avg,"New_York,_NY","New_York,_NY",501_to_1000_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
lower_than_avg,"New_York,_NY","New_York,_NY",501_to_1000_employees,Company___Private,Internet,Information_Technology,Unknown_/_Non_Applicable,Rate[3.5_3.9],Founded_2015_2019
